topology,flow_pairs_id,mode,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,burst_jitter_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,7,1.0,15.972,293.57507871346206,1.0,248.84879967226993,19.42,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,7,1.0,15.972,49.26195974083865,1.0,57.24606376558427,19.42,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,7,0.9704482844978712,15.5,78.52692805109764,0.9701338825952626,122.6464363215745,18.84,0.9701338825952626
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,8,0.7108554277138569,11.368,653.047565757072,0.6578034682080924,611.970223100368,11.38,0.6578034682080924
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,8,1.0,15.992,240.51746234154908,1.0,179.60076449900163,17.3,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,8,1.0,15.992,44.79999999999927,1.0,37.2658998611213,17.3,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,8,0.9714857428714357,15.536,89.59999999999854,0.9780346820809248,101.02205648498875,16.92,0.9780346820809248
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,sp,9,0.7031015507753877,11.244,665.3514114218958,0.6435432230522946,607.3142416671135,12.06,0.6435432230522946
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,ecmp,9,1.0,15.992,239.42335302504944,1.0,209.04304166270285,18.74,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,HIER_STAGE3,9,1.0,15.992,44.80000000000018,1.0,56.244936198908135,18.74,1.0
NSFNET,0-4_1-4_3-12,medium,burst,420.0,507.0,1700.0,2300.0,0.0,PPO_CANDIDATE,9,0.9722361180590295,15.548,78.84607399988616,0.9669156883671292,90.46212185185533,18.12,0.9669156883671292
NSFNET,0-4_1-4_3-12,heavy,static,480.0,480.0,,,0.0,sp,0,0.6804775280898876,11.628,865.618052166071,,,,
NSFNET,0-4_1-4_3-12,heavy,static,480.0,480.0,,,0.0,ecmp,0,0.9920411985018727,16.952,438.72628084596647,,,,
