topology,flow_pairs_id,flows,variant,base_pps,burst_pps,burst_start_ms,burst_end_ms,policy,seed,delivery_ratio,goodput_mbps,p95_latency_ms,delivery_burst,p95_latency_burst,goodput_burst_mbps,service_ratio_bits
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,ECMP,4,0.4031792975970425,21.812,868.1287011990055,0.36455696202531646,868.533923218671,23.04,0.36455696202531646
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,4,0.591645101663586,32.008,870.2623770274661,0.5088607594936709,867.678392584418,32.16,0.5088607594936709
NSFNET,0-4_1-4_3-12,9,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,4,0.7855083179297597,42.496,1166.533270869468,0.6841772151898734,1210.6481099426576,43.24,0.6841772151898734
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,SP,0,0.15764542776269425,10.916,1285.4495081630141,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,ECMP,0,0.48217896135405236,33.388,857.1915103269724,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,HIER_STAGE3,0,0.449136387268211,31.1,891.673388365411,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,PPO_CANDIDATE,0,0.5787649471434348,40.076,1192.948323096967,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,SP,1,0.15870069605568446,10.944,1285.463581603676,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,ECMP,1,0.48428074245939673,33.396,857.1821062530689,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,HIER_STAGE3,1,0.4476798143851508,30.872,892.775561081556,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,PPO_CANDIDATE,1,0.5826566125290024,40.18,1203.1402876115064,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,SP,2,0.15880175803839927,10.984,1285.4556175461676,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,ECMP,2,0.47420772611612305,32.8,857.1754827575634,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,HIER_STAGE3,2,0.44147582697201015,30.536,964.6993218032792,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,PPO_CANDIDATE,2,0.5842007864908628,40.408,1180.4451761455534,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,SP,3,0.1576506059024758,10.876,1285.4643796949683,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,ECMP,3,0.4832144720821012,33.336,857.188676807342,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,HIER_STAGE3,3,0.4499913028352757,31.044,897.353398811317,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,PPO_CANDIDATE,3,0.5842175450803038,40.304,1190.6678725572915,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,SP,4,0.15813899524306765,10.904,1285.4721940691234,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,ECMP,4,0.4854391460726302,33.472,857.1771663511885,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,HIER_STAGE3,4,0.44813783501566307,30.9,891.7121994380728,,,,
NSFNET,0-4_1-4_3-12,12,static,480.0,580.0,,,PPO_CANDIDATE,4,0.5786054066597053,39.896,1212.303684925925,,,,
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,SP,0,0.15121626863190557,10.916,1285.4588400591629,0.13154776013273287,1285.4582541826317,11.1,0.13154776013273287
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,ECMP,0,0.4700504238931678,33.932,857.1765217156654,0.44963261436359325,857.1437851760261,37.94,0.44963261436359325
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,0,0.43093034853438245,31.108,893.2091554975585,0.3536383029153828,912.2379768477379,29.84,0.3536383029153828
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,0,0.5561035075081731,40.144,1183.938443230392,0.471438729556767,1217.5350188857062,39.78,0.471438729556767
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,SP,1,0.15215215215215216,10.944,1285.4499175313908,0.1282536677709418,1285.4308475385903,10.84,0.1282536677709418
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,ECMP,1,0.4698587476365254,33.796,857.1765473226811,0.4484145764316138,857.1508660660892,37.9,0.4484145764316138
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,1,0.4292069847625403,30.872,893.1947319578954,0.36086133459536207,896.7966160132714,30.5,0.36086133459536207
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,1,0.5601156712267823,40.288,1196.1664722481014,0.4716043539990535,1216.2439558556496,39.86,0.4716043539990535
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,SP,2,0.1526233881725211,10.984,1285.4597033539694,0.12511916110581506,1285.4685004261603,10.5,0.12511916110581506
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,ECMP,2,0.46292796798577146,33.316,857.1808567408074,0.42897998093422307,857.1739408629119,36.0,0.42897998093422307
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,2,0.4241329479768786,30.524,955.4047219461395,0.3458055290753098,901.8469248170934,29.02,0.3458055290753098
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,2,0.5620831480658071,40.452,1138.8512743600998,0.5007149666348903,1193.7748471905243,42.02,0.5007149666348903
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,SP,3,0.1509381592095037,10.876,1285.465644057241,0.12831644958996624,1285.4143021658483,10.64,0.12831644958996624
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,ECMP,3,0.46813589430442987,33.732,857.1727355512116,0.45779064158224797,857.1861733848057,37.96,0.45779064158224797
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,3,0.43072055068280224,31.036,898.2068082771085,0.38205499276411,902.3518035823449,31.68,0.38205499276411
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,3,0.5603419562562452,40.376,1095.4587522253225,0.5108538350217077,1195.7977457132733,42.36,0.5108538350217077
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,SP,4,0.15206113683271044,10.904,1285.4563489090528,0.12547892720306514,1285.4533406799562,10.48,0.12547892720306514
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,ECMP,4,0.4729179449991633,33.912,857.1706922005748,0.4442049808429119,857.1485208828244,37.1,0.4442049808429119
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,HIER_STAGE3,4,0.4312489540915937,30.924,891.6730817534171,0.36182950191570884,889.9409637700936,30.22,0.36182950191570884
NSFNET,0-4_1-4_3-12,12,burst,480.0,580.0,1700.0,2300.0,PPO_CANDIDATE,4,0.5544151280191889,39.756,1209.0648797467877,0.47054597701149425,1216.9446610850794,39.3,0.47054597701149425
